Scene,ParamScale,Training_Time,Train_SSIM,Train_PSNR,Train_LPIPS,Test_SSIM,Test_PSNR,Test_LPIPS
bicycle,500k,202.93013501167297,0.7394161,24.1022949,0.2953668,0.7167701,24.8046818,0.291909
bicycle,1000k,264.78219962120056,0.7961208,25.1734104,0.2345036,0.7559099,25.3654881,0.2369093
bicycle,1500k,316.56709837913513,0.8248914,25.7478561,0.2028047,0.7708772,25.5005684,0.2105219
bicycle,2000k,361.07731199264526,0.8442218,26.2453022,0.1805729,0.7797215,25.6314316,0.1941082
bicycle,2500k,405.8257074356079,0.8576034,26.5431213,0.1654572,0.7844099,25.596487,0.1833089
bicycle,3000k,447.1844644546509,0.8676447,26.8346729,0.1542664,0.7867238,25.6723671,0.1766565
bicycle,3500k,586.1079978942871,0.8757789,27.0901299,0.1453569,0.789662,25.7213211,0.1716761
bicycle,4000k,535.0599377155304,0.8826206,27.2854691,0.1382636,0.7912081,25.7081871,0.1678439
bicycle,4500k,573.1084458827972,0.8885124,27.4943695,0.1314853,0.7926725,25.7604198,0.1649166
bicycle,5000k,618.8981449604034,0.8932418,27.6504784,0.1263649,0.7922631,25.7236004,0.1634299
flowers,500k,226.5976071357727,0.7000631,22.9269447,0.3144081,0.5693415,21.0884857,0.3679251
flowers,1000k,300.37753534317017,0.7671322,24.1132774,0.250364,0.6040621,21.4268799,0.3197978
flowers,1500k,369.3117229938507,0.803455,24.8584957,0.2151508,0.6175293,21.4909592,0.2957822
flowers,2000k,454.9563133716583,0.8278379,25.4442272,0.1904168,0.6263587,21.5494175,0.2803265
flowers,2500k,491.9841458797455,0.8443567,25.8674469,0.1733047,0.6309278,21.5759144,0.2713373
flowers,3000k,547.3269233703613,0.8577428,26.2591686,0.1592154,0.6330057,21.5319481,0.264285
garden,500k,207.76819849014282,0.8427117,27.769701,0.1821609,0.8175416,26.6921577,0.1928265
garden,1000k,280.75103759765625,0.8817798,28.8692989,0.1253328,0.8489962,27.3644772,0.1402599
garden,1500k,347.5614438056946,0.8990547,29.4523106,0.1019248,0.8620754,27.689827,0.1193134
garden,2000k,403.41285252571106,0.9092437,29.8773365,0.0888007,0.868414,27.8677979,0.1081297
